"","x"
"(Intercept)",2.1179445056003
"somehigh",0.020868152663706
"high",0.0574182482190069
"somepost",0.0629073161935245
"diploma",0.113868760972782
"bachelors",0.167385427808523
"graduate",0.216528954862253
"union",0.13131114477832
"tenure",0.000855420830395647
"male",0.0990867153613562
"multi",-0.0431455684912384
"public",0.063984680079934
"experience",0.0199896273928018
"experience2",-0.000363921130710529
"agri",-0.108091162474246
"for_fish",0.219930444530296
"utilities",0.139485268860554
"construction",0.204062251860861
"man_durables",0.0507275985684857
"man_non",0.0101547334620035
"wholesale",0.0128950228982607
"retail",-0.0676609053894568
"trans_ware",0.0217686237594072
"fin_insur",0.0598660606909624
"profess",0.0570527215036417
"management",-0.0852915226933705
"education",-0.00953667053631888
"health",-0.0293726249137923
"rec",-0.0522778776882255
"other",-0.0400533736212999
"public_admin",0.049873566877145
"NF",0.106329014176647
"NS",0.0490614799039325
"NB",0.0167356841940607
"QC",0.0942727597149223
"ON",0.14318084682897
"MB",0.092018361751542
"SK",0.209103093563975
"AB",0.29386026984505
"BC",0.172077555790555
"sr_manage_occupation",0.828122673368821
"spec_manage",0.808645216254378
"retail_manage",0.493492638037069
"other_manage_NEC",0.778924295108935
"business_finance",0.632699834786792
"insurance_admin",0.320771386107585
"secretary",0.220786809010557
"admin_regulatory",0.371726217592311
"clerical_supervisor",0.352176971293158
"clerical_occupation",0.201221544543923
"natural_science_professional",0.69105632796731
"natural_science_techincal",0.484762951510224
"health_professional",0.704973839178536
"nurse_supervisors",0.666788325316048
"health_technician",0.490968276493145
"support_health_services",0.232512034309245
"judges_lawyers_psych",0.59109827260458
"teachers_professors",0.53635214974048
"paralegal",0.292678480984474
"art_culture_professional",0.497280647636247
"art_culture_technical",0.276380848433313
"sales_service_supervisor",0.202785134838504
"insurance",0.388474750835315
"retail_sales_clerk",0.0927791149183828
"chef_cook",0.0349234113664174
"food_beverage_service",0.0927528910433908
"protective_services",0.29694570842676
"travel_accomodation",0.104346167362619
"childcare",0.0812750240616255
"sales_service_occupation",0.0175512433314984
"trades_transport",0.516210786661023
"construction_trades",0.412479697915848
"power_station",0.469788961768729
"machinists",0.399587116897523
"mechanics",0.439263219515287
"other_trades_NEC",0.267845469104072
"heavy_equip_crane",0.394524039622607
"transport_operator",0.237740454387739
"agriculture",0.241370056527552
"foresty_mine_oil_gas",0.336001238141105
"product_labourers",0.1550306476678
"mfr_supervisor",0.438207985308845
"machine_operator",0.174301355098105
"assemblers_in_mfr",0.166031370680207
"labourer_manufacturing",0.0879221377658806
